t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
36.652158,-0.12,0.15,-9.81,0.0,0.0,-0.01,-7.0,10.68,41.0
36.674711,0.01,0.15,-9.78,0.0,0.0,-0.05,-7.0,10.68,41.0
36.697338,-0.1,0.19,-9.86,0.0,0.0,0.0,-7.0,10.68,41.0
36.718063,-0.08,0.17,-9.76,0.0,0.0,0.0,-7.68,10.37,39.37
36.741018,-0.1,0.15,-9.77,0.0,0.0,0.0,-7.68,10.37,39.37
36.764392,-0.04,0.16,-9.61,0.0,0.0,0.0,-8.75,10.37,40.56
36.787053,-0.09,0.18,-10.0,0.01,0.0,0.0,-8.75,10.37,40.56
36.809833,-0.08,0.15,-9.85,0.0,0.0,0.0,-8.75,10.37,40.56
36.833632,-0.08,0.15,-9.82,0.0,0.0,0.0,-7.37,11.06,38.56
36.854427,-0.07,0.15,-9.78,0.0,0.01,0.0,-7.37,11.06,38.56
36.878612,-0.2,0.18,-9.8,0.0,0.0,-0.02,-8.06,10.37,41.75
36.899508,0.0,0.15,-9.72,-0.02,0.0,-0.09,-8.06,10.37,41.75
36.922312,-0.07,0.17,-9.81,-0.02,0.0,-0.01,-8.06,10.37,41.75
36.944836,-0.06,0.14,-9.78,-0.04,0.01,0.0,-7.68,10.37,41.0
36.96713,0.18,0.14,-9.85,-0.03,0.01,0.05,-7.68,10.37,41.0
36.989688,0.12,-1.94,-9.98,-0.02,-0.01,0.61,-8.06,10.0,40.56
37.012246,-0.16,-3.23,-9.85,-0.01,-0.04,0.89,-8.06,10.0,40.56
37.034422,-0.48,-8.11,-9.78,0.0,0.0,0.33,-8.06,10.0,40.56
37.057277,-0.44,-4.87,-10.16,0.06,0.0,0.04,-8.06,11.06,39.37
37.079521,0.62,1.25,-9.39,0.02,0.0,-0.49,-8.06,11.06,39.37
37.102206,1.03,-3.61,-10.37,-0.08,-0.03,-1.11,-6.56,10.68,41.0
37.12479,0.67,-5.04,-9.91,0.02,0.05,-1.56,-6.56,10.68,41.0
37.158422,0.43,-1.03,-10.02,0.14,0.01,-1.79,-6.56,10.68,41.0
37.181015,-0.08,4.3,-10.14,-0.04,0.0,-1.63,-8.06,11.87,40.56
37.203278,-0.12,4.78,-9.68,0.09,-0.16,0.55,-9.18,10.68,41.25
37.226127,0.59,5.82,-9.73,0.12,0.0,0.21,-9.18,10.68,41.25
37.248194,0.7,4.37,-9.63,0.1,0.02,-0.67,-9.56,10.0,40.56
37.271027,1.47,6.84,-9.83,0.01,0.13,-0.5,-9.56,10.0,40.56
37.293464,0.2,4.7,-10.11,-0.16,0.2,-0.01,-9.56,10.0,40.56
37.3161,0.04,4.33,-9.69,0.04,-0.01,0.48,-9.56,10.68,41.25
37.33833,-0.12,2.23,-9.48,0.01,0.02,0.55,-9.56,10.68,41.25
37.360965,0.59,-0.18,-10.07,0.02,0.0,0.49,-8.75,10.37,42.18
37.383512,-1.36,2.25,-9.73,-0.04,0.01,-0.37,-8.75,10.37,42.18
37.406082,-1.74,-1.99,-9.93,0.05,-0.01,-0.12,-8.75,10.37,42.18
37.428278,-2.54,-0.04,-9.5,0.11,-0.03,0.27,-8.75,10.0,39.75
37.450686,-1.18,-4.16,-9.99,-0.09,0.03,0.15,-8.75,10.0,39.75
37.473371,-1.62,-5.59,-10.19,0.06,-0.02,0.08,-9.18,9.18,39.37
37.495718,-1.88,-5.76,-10.0,0.07,0.0,-0.2,-9.18,9.18,39.37
37.518344,-1.08,-6.6,-10.02,0.07,-0.05,0.15,-9.18,9.18,39.37
37.540852,-2.85,-1.04,-9.1,0.17,0.0,1.07,-7.37,9.56,39.37
37.563681,-2.72,-0.9,-9.91,-0.23,0.02,0.47,-7.37,9.56,39.37
37.586012,-3.0,-2.88,-9.63,-0.08,0.05,0.38,-7.68,9.18,39.0
37.609307,-2.04,-3.47,-9.44,-0.01,-0.01,0.94,-7.68,9.18,39.0
37.63083,-1.97,-2.99,-9.82,-0.06,0.01,0.7,-7.68,9.18,39.0
37.653338,-2.75,-1.75,-10.27,-0.1,0.01,0.64,-6.25,9.18,38.56
37.675845,-5.42,-0.46,-9.69,-0.05,0.02,0.28,-6.25,9.18,38.56
37.698547,-3.95,-1.67,-9.24,-0.05,0.05,0.11,-8.06,8.5,40.56
37.720963,-2.22,-2.27,-9.96,-0.06,0.01,0.28,-8.06,8.5,40.56
37.743328,-3.06,-0.91,-9.6,-0.01,0.0,-0.1,-8.06,8.5,40.56
37.766301,-3.11,-1.22,-9.9,0.0,0.0,-0.39,-8.06,9.56,39.37
37.788386,0.05,0.0,-10.49,0.04,-0.01,0.3,-8.06,9.56,39.37
37.810934,4.25,2.09,-10.05,-0.01,0.0,-0.45,-7.68,10.68,40.56
37.846264,4.86,2.8,-9.83,-0.09,0.03,-0.39,-7.68,10.68,40.56
37.868083,4.55,3.22,-9.88,0.03,-0.01,-0.03,-9.18,11.87,40.56
37.889662,3.59,1.56,-9.81,0.0,0.0,-0.07,-9.18,11.87,40.56
37.912143,1.47,-0.05,-9.92,0.01,0.0,0.49,-9.18,11.87,40.56
37.934505,2.18,0.28,-9.92,0.0,-0.01,0.62,-9.56,12.56,41.25
37.957197,0.06,0.12,-9.83,0.01,-0.01,0.21,-9.56,12.56,41.25
37.979558,-0.12,0.21,-9.82,0.0,-0.01,0.26,-9.18,11.75,41.25
38.002276,-0.31,0.23,-9.82,-0.01,-0.04,0.34,-9.18,11.75,41.25
38.024706,-0.28,0.2,-9.84,-0.01,-0.03,0.17,-9.18,11.75,41.25
