t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
3.544273,-0.2,0.43,-9.88,6.1e-05,-0.519165,0.854492,0.017212
3.566176,-0.12,0.38,-9.92,0.000183,-0.519958,0.854065,0.01709
3.58842,-0.13,0.36,-9.88,0.000305,-0.52063,0.853638,0.016968
3.610819,-0.23,0.32,-9.91,0.000366,-0.52124,0.853271,0.016846
3.633659,-0.14,0.24,-10.11,0.000488,-0.52179,0.852905,0.016663
3.655774,-0.16,0.43,-9.86,0.000854,-0.522156,0.852661,0.016113
3.678512,-0.14,0.28,-9.9,0.000977,-0.522217,0.852661,0.01593
3.700856,2.1,-1.33,-10.31,6.1e-05,-0.513123,0.858154,0.016968
3.72341,2.39,-0.6,-9.35,0.000854,-0.507446,0.861511,0.015503
3.745944,2.52,-0.74,-9.9,0.001038,-0.505554,0.862671,0.014832
3.768439,3.06,0.85,-10.18,0.001282,-0.508789,0.860779,0.014465
3.790983,1.7,1.87,-10.31,0.001526,-0.515381,0.856873,0.014526
3.813615,-0.2,2.1,-10.48,0.001892,-0.52301,0.852234,0.014709
3.835723,-1.55,3.43,-10.05,0.001953,-0.530151,0.847778,0.014893
3.858898,-2.27,3.47,-9.65,0.002075,-0.539001,0.842224,0.014465
3.88088,-5.58,2.64,-9.53,0.002258,-0.548035,0.836365,0.014404
3.903428,-4.84,1.99,-10.0,0.002441,-0.559326,0.828796,0.014587
3.926003,-4.97,0.45,-9.75,0.002869,-0.580017,0.814453,0.014893
3.948447,-2.0,-0.33,-10.6,0.002686,-0.605774,0.795471,0.015808
3.970919,-1.37,-0.81,-9.69,0.001587,-0.623779,0.781433,0.017395
3.993358,-3.8,0.46,-9.65,0.000916,-0.620911,0.783691,0.018066
4.015605,-2.47,-0.61,-10.15,0.000122,-0.602356,0.798035,0.018311
4.038489,-5.11,-0.15,-11.0,0.000549,0.576843,-0.81665,-0.018433
4.060771,-3.33,-1.5,-9.94,0.001404,0.546509,-0.837219,-0.018738
4.083614,-2.5,-2.87,-9.92,0.001953,0.516235,-0.856262,-0.019043
4.106184,1.51,-2.11,-9.51,0.00238,0.493591,-0.869507,-0.019104
4.128481,3.0,-2.52,-10.25,0.002808,0.478455,-0.877869,-0.019287
4.150743,1.28,-2.88,-9.94,0.00293,0.464417,-0.885376,-0.019409
4.174718,0.46,-3.08,-9.77,0.003235,0.450867,-0.892395,-0.019531
