t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z
10.731853,-0.17,0.09,-9.84,0.000244,-0.149902,-0.988708,-0.005066
10.753879,-0.14,0.12,-9.9,0.000244,-0.149902,-0.988708,-0.005127
10.7775,-0.15,0.14,-9.88,0.000183,-0.149902,-0.988708,-0.005127
10.797824,-0.15,0.13,-9.89,0.0,-0.149902,-0.988708,-0.005127
10.82001,-0.15,0.11,-9.81,0.000244,0.149902,0.988708,0.005005
10.84269,0.31,0.16,-9.9,0.000183,0.151001,0.988525,0.005554
10.866239,0.03,0.14,-10.09,0.001282,0.155701,0.987793,0.005859
10.889393,2.4,0.73,-9.76,0.002808,0.163147,0.986572,0.005493
10.91209,1.05,-1.59,-9.77,0.00293,0.16687,0.985962,0.006226
10.934291,-4.7,-3.75,-9.4,0.002136,0.137451,0.990479,-0.000244
10.956835,-3.69,-3.11,-9.77,0.002319,0.122742,0.992432,-0.000793
10.979223,-4.24,1.47,-9.74,0.002319,0.099609,0.994995,-0.000793
11.001742,-4.43,2.43,-9.85,0.002258,0.075623,0.997131,-0.000305
11.024246,-3.79,5.55,-9.83,0.002258,0.056519,0.998413,-0.000183
11.047003,-2.62,4.01,-10.02,0.002441,0.041016,0.999146,0.000244
11.069205,-0.97,3.64,-10.08,0.002441,0.030151,0.999573,0.000305
11.091982,-0.66,5.77,-9.91,0.002441,0.020264,0.999817,-0.000427
11.114242,0.11,6.01,-10.26,0.002625,0.006042,1.0,-0.000488
11.136768,0.96,9.85,-10.02,0.002747,0.0,1.0,-0.000427
11.159252,4.41,9.0,-10.34,0.002869,0.000671,1.0,-0.000427
11.181569,5.05,5.5,-9.43,0.00293,0.005737,1.0,-0.000122
11.204171,6.45,2.2,-10.87,0.003906,0.011475,0.999939,0.002747
11.226578,5.92,-1.18,-10.41,0.004028,0.02124,0.999756,0.003174
11.249145,4.99,-4.17,-10.37,0.003662,0.038025,0.999268,0.002991
11.271791,2.39,-5.76,-11.03,0.003662,0.06366,0.997986,0.002808
11.294081,-5.4,-4.62,-8.68,0.002686,0.097778,0.995178,0.000488
11.316702,-3.4,-3.06,-10.08,0.002502,0.116333,0.993225,-0.000916
11.339113,-5.14,-4.05,-7.76,0.003906,0.113708,0.99353,-0.003113
11.361682,-6.1,-3.88,-10.08,0.002502,0.103149,0.99469,-0.000977
11.384122,-5.66,3.04,-9.8,0.00238,0.101379,0.994873,-0.000671
11.406619,-4.97,-0.24,-9.76,0.002136,0.095703,0.995422,-0.000671
11.429193,-7.21,1.15,-9.69,0.001343,0.079712,0.996826,-0.000244
11.451836,-4.43,0.65,-9.55,0.00061,0.075745,0.997131,0.000793
11.474394,-0.9,-0.47,-9.58,0.001953,0.089844,0.995972,-0.000427
11.496817,-0.6,-3.1,-10.57,0.002441,0.095215,0.995483,0.001709
11.519219,0.7,-5.45,-9.75,0.002747,0.107971,0.994141,0.002014
11.541531,-0.88,-3.96,-10.02,0.002563,0.112854,0.993591,0.000854
11.564237,1.61,-6.67,-10.43,0.002747,0.108276,0.994141,0.000916
11.586744,2.19,-7.23,-9.94,0.003052,0.098572,0.995117,0.002014
11.609222,2.52,-5.74,-9.75,0.003235,0.082275,0.996582,0.002747
11.63183,4.05,-2.45,-10.18,0.003235,0.062012,0.998047,0.002991
11.65436,4.15,-3.09,-9.78,0.003113,0.042969,0.999084,0.002319
11.676522,3.52,-2.66,-9.63,0.003174,0.025879,0.999634,0.002014
11.699316,4.12,-1.2,-10.43,0.003113,0.008362,0.999939,0.002075
11.721535,3.69,-1.2,-9.84,0.003296,-0.001587,1.0,0.002075
11.744436,-1.55,4.7,-9.99,0.002869,0.006409,1.0,0.00061
11.766787,-1.06,5.36,-9.17,0.002502,0.02301,0.999756,-0.001099
11.789187,-0.39,6.59,-9.55,0.002563,0.021729,0.999756,-0.001709
11.811907,0.33,7.18,-10.19,0.002563,0.010376,0.999939,-0.001892
11.834177,0.49,4.8,-9.72,0.002502,0.000671,1.0,-0.00177
