t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
79.831522,-0.21,0.1,-9.77,0.0,0.0,0.0,15.06,35.87,-20.0
79.851612,-0.14,0.08,-9.77,0.0,0.0,0.0,15.06,36.68,-18.5
79.875673,-0.09,0.15,-9.93,0.0,0.0,0.0,15.06,36.68,-18.5
79.899643,-0.01,0.0,-9.75,0.0,0.0,0.0,15.06,36.68,-18.5
79.919741,-0.15,-0.04,-9.88,0.0,0.0,0.0,14.0,37.37,-18.5
79.943741,-0.22,0.13,-9.68,-0.01,0.0,0.0,14.0,37.37,-18.5
79.96775,-0.19,0.18,-9.78,0.0,0.0,0.0,15.87,37.06,-17.56
79.987748,-0.12,-0.07,-9.77,0.0,0.0,0.0,15.87,37.06,-17.56
80.011751,-0.04,-0.02,-9.77,0.0,0.0,0.0,15.87,37.06,-17.56
80.031787,-0.08,0.07,-9.77,0.0,0.0,0.0,15.06,37.37,-18.75
80.055891,-0.21,0.08,-9.8,0.0,0.0,0.0,15.06,37.37,-18.75
80.079871,-0.17,-0.02,-9.77,0.0,0.0,0.0,14.75,37.37,-18.0
80.09986,-0.13,-0.05,-9.78,0.0,0.0,0.0,14.75,37.37,-18.0
80.123891,-0.13,0.03,-9.77,0.0,0.0,0.0,14.75,37.37,-18.0
80.147888,-0.11,0.09,-9.78,0.0,0.0,0.0,14.37,36.25,-19.18
80.167995,-0.12,0.1,-9.77,0.0,0.0,0.0,14.37,36.25,-19.18
80.191848,-0.14,0.04,-9.77,0.0,0.0,0.0,15.06,36.68,-19.18
80.21184,-0.14,0.02,-9.77,0.0,0.0,0.0,15.06,36.68,-19.18
80.235882,-0.14,0.01,-9.76,0.0,0.0,0.0,15.06,36.68,-19.18
80.259851,-0.13,0.01,-9.75,0.0,0.0,0.0,15.06,35.87,-18.5
80.291851,-0.11,0.05,-9.77,0.0,0.0,0.0,15.06,35.87,-18.5
80.315876,-0.12,0.04,-9.76,0.0,0.0,0.0,16.25,36.68,-18.75
80.335892,-0.11,-0.02,-9.77,0.0,0.0,0.0,14.37,36.25,-19.18
80.359779,-0.13,0.05,-9.78,0.0,0.0,0.0,15.5,37.06,-18.5
80.39181,-4.01,5.46,-10.15,0.0,0.0,0.0,15.5,37.06,-18.5
80.415891,-2.82,-0.47,-9.14,0.18,0.21,2.45,15.5,37.06,-18.5
80.439836,2.02,-0.74,-9.67,-0.05,-0.05,1.65,14.37,37.37,-18.75
80.45979,5.64,1.15,-9.03,-0.11,-0.15,0.36,14.37,37.37,-18.75
80.483892,3.2,3.53,-9.33,-0.22,-0.11,-2.67,16.68,38.18,-15.25
80.507847,4.84,4.68,-9.9,-0.06,-0.22,-1.54,16.68,38.18,-15.25
80.527844,-0.72,2.02,-9.59,0.38,-0.17,0.19,16.68,38.18,-15.25
80.551879,-1.2,2.85,-9.43,0.45,-0.18,0.27,11.06,43.37,-11.56
80.571898,1.33,2.78,-9.9,0.32,-0.15,-0.45,11.06,43.37,-11.56
80.595841,0.6,1.74,-10.32,0.17,-0.09,-1.03,11.06,47.87,-2.87
80.619885,1.23,1.42,-10.49,0.36,-0.07,-1.24,11.06,47.87,-2.87
80.63986,-0.67,2.0,-9.86,0.55,-0.02,-1.32,11.06,47.87,-2.87
80.663894,-2.0,1.11,-9.86,0.42,0.03,-1.27,7.06,49.75,9.75
80.687889,-2.13,-0.52,-8.52,0.48,-0.51,-1.58,4.06,48.56,17.75
80.707841,-2.47,-0.62,-9.68,0.12,-0.46,-1.31,1.18,47.75,24.87
80.731892,-3.59,-1.34,-9.91,0.08,-0.43,-1.17,1.18,47.75,24.87
80.755905,-3.03,-1.5,-9.74,0.0,-0.66,-0.95,0.75,46.75,26.87
80.775836,-2.15,-1.74,-8.77,-0.09,-0.6,-0.72,0.75,46.75,26.87
80.799879,-2.76,-2.54,-7.62,-0.15,-0.13,-0.26,0.75,46.75,26.87
80.819906,-2.54,-2.39,-9.89,-0.25,0.39,0.41,-0.18,44.68,30.75
80.844046,-1.7,-1.93,-10.1,-0.01,0.36,0.66,-0.18,44.68,30.75
80.867783,-0.79,-2.29,-8.97,-0.29,0.17,0.53,1.0,43.0,32.37
80.887863,-0.7,-2.44,-9.17,-0.27,0.37,0.71,1.0,43.0,32.37
80.911844,-1.88,-2.89,-9.4,-0.24,0.59,0.85,1.0,43.0,32.37
80.935879,0.06,-2.47,-10.11,-0.49,0.42,1.04,1.5,40.18,36.0
80.955868,1.88,-2.5,-9.69,-0.53,-0.02,0.91,1.5,40.18,36.0
80.979849,2.84,-2.71,-8.85,-0.64,0.08,0.74,2.75,37.5,37.06
80.999881,3.86,-2.19,-9.35,-0.42,0.83,0.97,2.75,37.5,37.06
81.023877,1.42,-3.01,-10.37,-0.88,0.33,0.88,2.75,37.5,37.06
81.04791,1.7,-2.72,-9.82,-0.06,0.06,0.62,3.75,35.18,38.56
81.067878,1.23,-2.19,-9.78,0.04,0.03,0.65,3.75,35.18,38.56
81.091832,1.49,-2.39,-9.86,0.16,0.07,0.25,5.25,34.18,39.0
81.115878,0.48,-1.58,-9.57,0.03,0.02,0.13,5.25,34.18,39.0
81.135881,0.07,-0.2,-9.69,0.03,0.02,-0.12,5.25,34.18,39.0
81.159845,-1.05,-0.59,-9.88,-0.01,0.0,-0.17,4.68,33.5,39.5
81.179884,0.85,0.53,-9.71,-0.06,-0.04,-0.63,4.68,33.5,39.5
81.203885,-0.54,0.14,-10.0,-0.07,-0.08,0.13,5.06,35.06,38.37
81.22783,-0.07,-0.05,-9.81,0.0,0.0,0.0,4.5,34.5,40.0
81.247886,-0.11,0.0,-9.77,0.0,0.0,0.0,5.56,34.5,39.56
81.271883,-0.11,0.06,-9.77,0.0,0.0,0.0,5.56,34.5,39.56
81.295834,-0.13,0.06,-9.76,0.0,0.0,0.0,5.56,34.5,39.56
81.315879,-0.09,0.02,-9.77,0.0,0.0,0.0,4.5,34.06,39.18
