t,raw_acceleration_x,raw_acceleration_y,raw_acceleration_z,rotation_speed_x,rotation_speed_y,rotation_speed_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
40.199644,9.63,0.8,-0.68,-0.06,0.11,-0.1,-47.87,16.0,-2.56
40.219389,9.56,0.73,-0.7,-0.06,0.07,-0.08,-47.87,16.0,-2.56
40.243638,9.74,0.87,-0.68,-0.04,0.0,-0.03,-48.18,16.0,-3.75
40.267661,9.64,0.66,-0.86,-0.05,0.01,-0.02,-48.18,16.0,-3.75
40.287665,9.66,0.74,-0.71,-0.02,0.0,0.0,-48.18,16.0,-3.75
40.31165,9.64,0.54,-0.88,-0.03,0.02,-0.02,-48.56,14.87,-3.06
40.335781,9.66,0.62,-0.75,-0.01,0.0,0.0,-48.56,14.87,-3.06
40.355623,9.51,0.51,-0.79,0.0,-0.03,0.0,-47.5,16.37,-3.06
40.37968,9.55,0.61,-0.61,0.0,-0.02,0.0,-47.5,16.37,-3.06
40.399625,9.78,0.59,-0.87,-0.03,-0.05,-0.02,-48.18,16.0,-3.37
40.423635,9.63,0.59,-0.85,-0.04,0.0,-0.04,-48.18,16.0,-3.37
40.447601,9.76,0.51,-1.17,-0.03,-0.01,-0.03,-48.18,16.0,-3.37
40.467599,9.44,0.5,-0.83,0.0,0.01,-0.03,-48.18,15.56,-3.75
40.491617,9.74,0.5,-0.95,-0.01,0.02,-0.07,-48.18,15.56,-3.75
40.515808,9.67,0.55,-0.71,0.0,0.0,-0.05,-48.56,15.56,-2.68
40.535814,9.73,0.36,-0.84,0.0,-0.05,-0.01,-48.56,15.56,-2.68
40.559802,9.82,0.17,-0.73,0.02,-0.05,-0.01,-48.56,15.56,-2.68
40.579675,9.9,-0.02,-0.76,0.04,-0.1,0.0,-48.56,15.56,-3.37
40.603651,9.94,-0.53,-1.27,0.04,-0.05,-0.02,-48.56,15.56,-3.37
40.627712,9.92,-0.62,-0.93,0.1,0.01,-0.05,-48.56,16.0,-3.37
40.647723,10.56,-1.0,-1.09,0.1,0.07,-0.1,-48.56,16.0,-3.37
40.671602,10.63,-1.12,-0.78,0.2,0.0,-0.01,-48.56,16.0,-3.37
40.695605,10.97,-1.9,-1.09,0.21,0.02,0.03,-48.56,15.56,-3.37
40.71572,11.9,-1.41,-1.06,0.36,-0.02,0.06,-48.56,15.56,-3.37
40.739772,12.22,-1.82,-1.33,0.4,0.03,0.19,-48.56,16.0,-3.25
40.759658,12.18,-1.8,-1.32,0.48,0.17,0.17,-48.56,16.0,-3.25
40.783763,12.53,-1.25,-0.92,0.65,0.09,0.27,-48.56,16.0,-3.25
40.807722,13.59,-0.21,-0.91,0.71,0.25,0.2,-49.68,15.18,-4.18
40.827928,13.4,-0.09,-0.64,0.76,0.47,0.19,-49.68,15.18,-4.18
40.851794,13.34,0.64,0.01,0.78,0.46,0.29,-48.18,16.37,-4.5
40.87565,13.19,0.81,0.05,0.73,0.36,0.28,-48.18,16.37,-4.5
40.895926,14.09,1.4,-0.68,0.65,0.38,0.2,-48.18,16.37,-4.5
40.919724,14.86,2.34,-0.81,0.67,0.65,0.14,-47.5,16.37,-6.5
40.939753,11.22,3.6,0.72,0.6,-0.06,0.37,-47.87,17.87,-8.75
40.963813,11.7,3.81,-0.82,0.44,-0.03,0.23,-46.68,17.06,-10.75
40.988626,10.24,4.51,0.34,0.32,0.52,0.08,-46.68,17.06,-10.75
41.007749,9.16,4.45,0.59,-0.01,0.96,-0.17,-47.06,17.87,-10.75
41.03181,8.91,4.55,-0.12,-0.32,1.01,-0.36,-47.06,17.87,-10.75
41.055831,8.86,4.62,-0.73,-0.51,0.98,-0.38,-47.06,17.87,-10.75
41.075873,9.02,4.93,-0.93,-0.54,1.11,-0.32,-47.06,17.5,-13.18
41.099779,7.86,4.98,0.28,-0.59,1.11,-0.19,-47.06,17.5,-13.18
41.119628,7.18,4.59,0.66,-0.81,1.17,-0.14,-47.06,17.87,-15.56
41.143771,6.55,3.83,0.13,-1.11,1.4,-0.25,-47.06,17.87,-15.56
41.167802,5.94,2.83,-0.43,-1.27,1.51,-0.28,-47.06,17.87,-15.56
41.18771,4.75,2.35,0.78,-1.13,1.17,-0.12,-45.68,17.87,-17.87
41.211805,4.09,2.19,1.23,-1.09,0.82,-0.06,-45.68,17.87,-17.87
41.235784,4.03,2.25,2.31,-1.16,0.58,-0.16,-44.25,18.18,-19.5
41.255749,4.16,1.36,1.2,-1.4,0.72,-0.43,-44.25,18.18,-19.5
41.291762,4.2,1.13,1.72,-1.38,0.71,-0.53,-44.25,18.18,-19.5
41.311799,4.07,0.8,1.87,-1.36,0.47,-0.43,-44.25,19.37,-20.68
41.335804,3.67,0.18,1.75,-1.3,0.1,-0.27,-44.25,19.37,-20.68
